dist,,region,reg_prop,2020_pop,pop_pct,2025_pop,2030_pop,2035_pop,2040_pop,2045_pop,2050_pop,2055_pop,2060_pop,2065_pop,2070_pop,2075_pop,2080_pop,2085_pop,2090_pop,2095_pop,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
East Gonja,"'East Gonja',",BONO,Bono,133805,0.43,152392,167628,181288,197108,210657,225766,237704,251183,261225,273141,281392,291555,297560,305387,308955,314810,19979,6018584,7.7,
East Mamprusi,"'East Mamprusi',",BONO,Bono,153225,0.49,173656,191957,206584,225715,240051,258533,270872,287638,297675,312784,320656,333870,339080,349710,352065,360501,18376,1899427,16.8,
Effia Kwesimintsim,"'Effia Kwesimintsim',",SAVANNAH,Savannah,309514,1,354400,387752,421600,455944,489900,522236,552800,581029,607500,631822,654400,674417,692000,706413,718500,728211,27877,78564,,
Effutu,"'Effutu',",NORTH EAST,North East,81178,0.26,92144,101698,109616,119583,127374,136970,143728,152390,157950,165712,170144,176883,179920,185275,186810,190992,11162,88225,10.6,
Ejisu,"'Ejisu',",WESTERN,Western,118217,0.38,134672,148100,160208,174145,186162,199465,210064,221920,230850,241321,248672,257590,262960,269810,273030,278136,43960,259983,2.4,
Ejura Sekyedumase,"'Ejura Sekyedumase',",CENTRAL,Central,105952,0.34,120496,132734,143344,156078,166566,178770,187952,198896,206550,216284,222496,230865,235280,241817,244290,249279,15936,1489602,3.9,
Ekumfi,"'Ekumfi',",ASHANTI,Ashanti,61747,0.2,70880,77355,84320,90959,97980,104184,110560,115913,121500,126046,130880,134544,138400,140927,143700,145276,12133,307697,,
Ellembelle,"'Ellembelle',",ASHANTI,Ashanti,116435,0.38,134672,145867,160208,171520,186162,196458,210064,218575,230850,237683,248672,253707,262960,265743,273030,273943,16010,1107174,,
Fanteakwa North,"'Fanteakwa North',",CENTRAL,Central,74911,0.24,85056,93847,101184,110351,117576,126396,132672,140625,145800,152919,157056,163228,166080,170972,172440,176247,8493,931169,,
Fanteakwa South,"'Fanteakwa South',",WESTERN,Western,61994,0.2,70880,77665,84320,91323,97980,104601,110560,116377,121500,126551,130880,135082,138400,141491,143700,145857,9013,291671,16.4,
